Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text,dev_pub_relation,accion,aventura,deportes,early,estrategia,free,mmorpg,rpg,simulacion,indie,Release year,dev_code
Shinobi III: Return of the Ninja Master,2010-06-01,0.99,"50,000 .. 100,000",SEGA,SEGA,5.00E+04,100000.0,50.0K,100.0K,igual,1,0,0,0,0,0,0,0,0,0,2010.0,7
Bigfield 2042,2022-03-04,0.99,"20,000 .. 50,000",Sweet Games,Sweet Games,2.00E+04,50000.0,20.0K,50.0K,igual,1,1,0,0,0,0,0,0,1,1,2022.0,8
Sense of The Devil,2017-09-22,0.99,"20,000 .. 50,000",Racing Bros,ANPA.US,2.00E+04,50000.0,20.0K,50.0K,distinto,1,0,0,0,0,0,0,0,0,1,2017.0,10
The soldier in the mine,2017-08-14,4.99,"20,000 .. 50,000",Laush Dmitriy Sergeevich,Laush Studio,2.00E+04,50000.0,20.0K,50.0K,distinto,1,0,0,0,0,0,0,0,0,1,2017.0,22
BlackEye,2017-08-09,0.49,"20,000 .. 50,000",Dnovel,SA Industry,2.00E+04,50000.0,20.0K,50.0K,distinto,1,1,0,0,0,0,0,0,0,1,2017.0,19
Grav Blazer,2017-07-17,4.99,"20,000 .. 50,000",Ripknot Systems,Ripknot Systems,2.00E+04,50000.0,20.0K,50.0K,igual,1,0,0,0,0,0,0,0,0,1,2017.0,23
Dinosaur Hunt First Blood,2017-09-15,0.27,"20,000 .. 50,000",Racing Bros,ANPA.US,2.00E+04,50000.0,20.0K,50.0K,distinto,1,0,0,0,0,0,0,0,0,1,2017.0,10
3D Hardcore Cube,2017-08-22,2.99,"20,000 .. 50,000",Laush Dmitriy Sergeevich,Laush Studio,2.00E+04,50000.0,20.0K,50.0K,distinto,1,0,0,0,0,0,0,0,0,1,2017.0,22
Neon Hardcore,2017-07-21,3.99,"20,000 .. 50,000",Laush Dmitriy Sergeevich,Laush Studio,2.00E+04,50000.0,20.0K,50.0K,distinto,1,0,0,0,0,0,0,0,0,1,2017.0,22
2D Neon Cube,2017-09-08,3.99,"20,000 .. 50,000",Laush Dmitriy Sergeevich,Laush Studio,2.00E+04,50000.0,20.0K,50.0K,distinto,1,0,0,0,0,0,0,0,0,1,2017.0,22
