Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Stronghold Kingdoms,2012-02-27,0.0,"1,000,000 .. 2,000,000",FireFly Studios,FireFly Studios,1.00E+06,2.00E+06,1.0M,2.0M
Tropico 5,2014-05-23,19.99,"1,000,000 .. 2,000,000",Haemimont Games,Kalypso Media Digital,1.00E+06,2.00E+06,1.0M,2.0M
Armello,2015-09-01,19.99,"1,000,000 .. 2,000,000",League of Geeks,League of Geeks,1.00E+06,2.00E+06,1.0M,2.0M
Victoria II,2010-08-30,19.99,"1,000,000 .. 2,000,000",Paradox Development Studio,Paradox Interactive,1.00E+06,2.00E+06,1.0M,2.0M
Beholder,2016-11-09,1.39,"1,000,000 .. 2,000,000",Warm Lamp Games,Alawar Premium,1.00E+06,2.00E+06,1.0M,2.0M
The Red Solstice,2015-07-09,9.99,"1,000,000 .. 2,000,000",Ironward,Ironward,1.00E+06,2.00E+06,1.0M,2.0M
Eador. Masters of the Broken World,2013-04-19,19.99,"1,000,000 .. 2,000,000",Snowbird Games,Snowbird Games,1.00E+06,2.00E+06,1.0M,2.0M
Worms Revolution,2012-10-10,14.99,"1,000,000 .. 2,000,000",Team17 Digital Ltd,Team17 Digital Ltd,1.00E+06,2.00E+06,1.0M,2.0M
Punch Club,2016-01-08,9.99,"1,000,000 .. 2,000,000",Lazy Bear Games,tinyBuild,1.00E+06,2.00E+06,1.0M,2.0M
Turmoil,2016-06-02,9.99,"1,000,000 .. 2,000,000",Gamious,Gamious,1.00E+06,2.00E+06,1.0M,2.0M
