Game,Release date,Price,Owners,Developer(s),Publisher(s),Owners_min,Owners_max,Owners_min_text,Owners_max_text
Merchant of Phenistoria,2021-02-28,11.99,"0 .. 20,000",Vecteur-Jeux,Vecteur-Jeux,0.00E+00,2.00E+04,0,20.0K
Lost in Red Valley,2021-09-30,4.99,"0 .. 20,000",Alex Tyagniryadko,Alex Tyagniryadko,0.00E+00,2.00E+04,0,20.0K
Blade and Ham,2021-10-14,9.99,"0 .. 20,000",DeanForge,DeanForge,0.00E+00,2.00E+04,0,20.0K
Finding Home,2021-10-28,14.99,"0 .. 20,000",Dream Darker Entertainment,Dream Darker Entertainment,0.00E+00,2.00E+04,0,20.0K
Final Stand: Ragnarök,2021-10-28,19.99,"0 .. 20,000",City State Entertainment,City State Entertainment,0.00E+00,2.00E+04,0,20.0K
Lunar Odyssey,2022-02-21,0.0,"0 .. 20,000",Fractal Blue Entertainment,Visual Purple Inc.,0.00E+00,2.00E+04,0,20.0K
DopeMine Arena,2022-06-22,2.99,"0 .. 20,000",Tallon Zek,DopeMine Games,0.00E+00,2.00E+04,0,20.0K
Ruction: The Golden Tablet,2017-01-31,7.99,"0 .. 20,000",Scott Richey,Ruction Games,0.00E+00,2.00E+04,0,20.0K
Harsh,2018-01-25,9.99,"0 .. 20,000",Harsh Reality Productions LLC,Harsh Reality Productions LLC,0.00E+00,2.00E+04,0,20.0K
Warbot,2018-03-26,18.99,"0 .. 20,000",Shanghai Lusion Computer Software Co. Ltd.,Shanghai Lusion Computer Software Co. Ltd.,0.00E+00,2.00E+04,0,20.0K
Golden Key,2019-05-29,4.99,"0 .. 20,000",SVGames,SVGames,0.00E+00,2.00E+04,0,20.0K
Kingdom-Heroes,2019-06-22,0.99,"0 .. 20,000",InfinityMr,InfinityMr,0.00E+00,2.00E+04,0,20.0K
VRRCC,2019-05-20,7.99,"0 .. 20,000",Vice Age,Vice Age,0.00E+00,2.00E+04,0,20.0K
Battle Ready,2022-02-17,,"0 .. 20,000",Wolf Tango Games,Wolf Tango Games,0.00E+00,2.00E+04,0,20.0K
Backrooms - Surreality,2023-01-29,3.99,"0 .. 20,000",Big Deal Studios,Big Deal Studios,0.00E+00,2.00E+04,0,20.0K
Space Panic Arena,2017-08-03,15.99,"0 .. 20,000",Xefier Games Inc.,EvolVR Games Ltd.,0.00E+00,2.00E+04,0,20.0K
Epic Royal,2017-11-24,0.99,"0 .. 20,000",Integrity Studios,Integrity Studios,0.00E+00,2.00E+04,0,20.0K
